feature,mean_abs_shap,mean_shap
checking_status_no checking,0.07078281545115604,0.004620071636791107
duration,0.0517846774532119,0.0015381314249937434
checking_status_<0,0.04367234069683147,-0.0018433282884788133
credit_amount,0.0325795639233743,0.005114746867425306
savings_status_<100,0.026521377971873636,0.002495714447137564
installment_commitment,0.018140615036750563,0.003756590325366133
employment_<1,0.017272933149771786,-0.002399930354063938
age,0.01676751548572174,0.002937940902513498
purpose_radio/tv,0.015364149834958683,-0.001959972579428152
checking_status_0<=X<200,0.01519938121759316,-0.001838799984296582
housing_rent,0.01361940086163032,-0.0006163984860602971
savings_status_no known savings,0.013267638779876465,0.0011853668048850416
purpose_used car,0.010621458762440052,0.0021828641251378737
credit_history_no credits/all paid,0.009641023653656522,-0.001344616672780818
Married,0.00921186898482375,-0.00015061558453862347
purpose_education,0.009168247086040178,-0.001416699129501672
employment_4<=X<7,0.008934889083164858,0.001228893801317012
existing_credits,0.008135615589189472,0.0016707983997571183
credit_history_all paid,0.008078076089891958,-0.00196890588195074
job_unskilled resident,0.006420293529476012,0.00045080003839063974
credit_history_delayed previously,0.006353960628731329,-0.0003513531732009176
housing_for free,0.005377689800405499,0.0002911847708687848
job_high qualif/self emp/mgmt,0.005344768863828433,2.8809862735524268e-05
employment_1<=X<4,0.004756654561094415,0.00012651474870674592
employment_>=7,0.0041886613504263795,0.00042476813115199574
savings_status_100<=X<500,0.003856191497985524,-0.0011099471777889483
savings_status_>=1000,0.0038463199317263224,0.0013540775211978915
checking_status_>=200,0.0024341106367050235,0.000836115565088362
savings_status_500<=X<1000,0.0016930883911247573,0.0005720646594971192
purpose_repairs,0.0015587812636620906,-0.0004979940810083532
job_unemp/unskilled non res,0.0009222090725670855,-3.392574036612135e-05
purpose_domestic appliance,0.0005242146837933057,-6.271507673073847e-05
purpose_retraining,0.00027490949849005207,0.00017605974154831294
purpose_other,0.00023983649800882772,8.025093568477266e-05
