condition,warning_type,distance,sample_indices
1,none,far,"[10, 45, 77, 81, 83, 100, 110, 111, 123, 126, 136, 142, 146, 169, 176, 177, 187, 189, 194, 197]"
1,none,near,"[39, 47, 63, 178, 183]"
1,strong,near,"[14, 16, 120, 124, 144, 172, 179, 182]"
1,weak,near,"[13, 24, 48, 78, 93, 127, 135]"
2,none,far,"[12, 18, 20, 21, 22, 26, 64, 66, 67, 104, 113, 150, 158, 163, 165, 174, 180, 196, 199]"
2,none,near,"[33, 90, 145, 175]"
2,strong,near,"[25, 40, 62, 97, 116, 138, 152]"
2,weak,far,[4]
2,weak,near,"[7, 52, 70, 89, 92, 121, 143, 167, 191]"
3,none,far,"[15, 17, 19, 29, 30, 50, 51, 56, 57, 72, 75, 87, 102, 109, 147, 148, 161, 173]"
3,none,near,"[3, 35]"
3,strong,near,"[5, 6, 53, 58, 65, 86, 98, 128, 132, 139, 141, 155, 184]"
3,weak,far,"[49, 60]"
3,weak,near,"[91, 115, 129, 149, 188]"
